0.0,100000,4888,0.18886,0.8451
0.1,100000,10661,0.16811,0.84072
0.2,100000,23218,0.14111,0.83717
0.3,100000,29352,0.10143,0.82653
0.4,100000,34229,0.08942,0.82446
0.5,100000,49939,0.0802,0.82301
0.6,100000,56510,0.06019,0.81855
0.7,100000,57936,0.04646,0.81609
0.8,100000,60076,0.04614,0.81569
0.9,100000,60239,0.04627,0.81586
1.0,100000,64483,0.01001,0.80626
1.1,100000,65884,0.01002,0.8063
1.2,100000,68326,0.01005,0.80656
1.3,100000,73878,0.01012,0.8069
1.4,100000,89047,0.01031,0.8076
1.5,100000,89957,0.01032,0.8077
1.6,100000,89957,0.01032,0.8077
1.7,100000,89957,0.01032,0.8077
1.8,100000,89957,0.01032,0.8077
1.9,100000,89957,0.01032,0.8077
2.0,100000,90931,0.0,0.79
2.1,100000,90931,0.0,0.79
2.2,100000,90931,0.0,0.79
2.3,100000,90931,0.0,0.79
2.4,100000,90931,0.0,0.79
2.5,100000,90931,0.0,0.79
2.6,100000,90931,0.0,0.79
2.7,100000,90931,0.0,0.79
2.8,100000,90931,0.0,0.79
2.9,100000,90931,0.0,0.79
3.0,100000,94838,0.0,0.79062
3.1,100000,94838,0.0,0.79062
3.2,100000,94838,0.0,0.79062
3.3,100000,94838,0.0,0.79062
3.4,100000,94838,0.0,0.79062
3.5,100000,94838,0.0,0.79062
3.6,100000,94838,0.0,0.79062
3.7,100000,94838,0.0,0.79062
3.8,100000,94838,0.0,0.79062
3.9,100000,94838,0.0,0.79062
4.0,100000,94838,0.0,0.79062
4.1,100000,94838,0.0,0.79062
4.2,100000,94838,0.0,0.79062
4.3,100000,94838,0.0,0.79062
4.4,100000,94838,0.0,0.79062
4.5,100000,94838,0.0,0.79062
4.6,100000,94838,0.0,0.79062
4.7,100000,94838,0.0,0.79062
4.8,100000,94838,0.0,0.79062
4.9,100000,94838,0.0,0.79062
5.0,100000,100000,0.0,0.79082
5.1,100000,100000,0.0,0.79082
5.2,100000,100000,0.0,0.79082
5.3,100000,100000,0.0,0.79082
5.4,100000,100000,0.0,0.79082
5.5,100000,100000,0.0,0.79082
5.6,100000,100000,0.0,0.79082
5.7,100000,100000,0.0,0.79082
5.8,100000,100000,0.0,0.79082
5.9,100000,100000,0.0,0.79082
6.0,100000,100000,0.0,0.79082
6.1,100000,100000,0.0,0.79082
6.2,100000,100000,0.0,0.79082
